2024-11-15 11:12:37,751:INFO:Determined expected graph feature length: 874
2024-11-15 11:12:37,759:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_train.txt.
2024-11-15 11:12:37,765:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_valid.txt.
2024-11-15 11:12:37,769:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_train.txt.
2024-11-15 11:12:37,773:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_valid.txt.
2024-11-15 11:12:38,173:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_626.txt: could not convert string '-0.161675 0.072495 -0.191003 -0.051871 -0.087272 0.168933 0.228516 0.004643 -0.041558 -0.022551 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,181:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_32007.txt: could not convert string '-0.333182 0.174107 0.057359 0.082070 0.033416 0.147991 0.135164 -0.084345 0.201370 -0.057181 0.1758 to float64 at row 0, column 1.
2024-11-15 11:12:38,188:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_37707.txt: could not convert string '-0.135455 -0.056851 0.041606 -0.031836 -0.108660 -0.095245 0.461565 -0.104920 0.065597 -0.100927 -0 to float64 at row 0, column 1.
2024-11-15 11:12:38,194:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_50774.txt: could not convert string '0.174015 -0.079326 -0.160091 -0.298221 0.250057 0.171002 0.039035 -0.200378 0.071079 0.291197 -0.54 to float64 at row 0, column 1.
2024-11-15 11:12:38,201:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_33575.txt: could not convert string '-0.177202 -0.062831 -0.029952 0.074249 0.105742 -0.029672 0.162642 0.086176 -0.102365 -0.266191 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,208:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_27159.txt: could not convert string '0.123549 -0.275852 0.467827 -0.139112 0.074560 -0.146052 0.097176 -0.013250 0.004633 0.280663 0.022 to float64 at row 0, column 1.
2024-11-15 11:12:38,214:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_50014.txt: could not convert string '-0.181732 0.100388 -0.335080 0.116515 -0.342659 0.020736 0.210775 0.277191 0.468913 0.311670 -0.144 to float64 at row 0, column 1.
2024-11-15 11:12:38,221:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_33450.txt: could not convert string '-0.171534 -0.239371 -0.021350 -0.161730 0.041553 0.078736 -0.161598 -0.154419 0.067819 -0.054063 0. to float64 at row 0, column 1.
2024-11-15 11:12:38,228:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_27455.txt: could not convert string '0.303752 0.130771 0.007352 -0.197390 -0.134125 0.180727 -0.156899 0.086698 -0.063760 0.182369 -0.27 to float64 at row 0, column 1.
2024-11-15 11:12:38,234:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_1115.txt: could not convert string '-0.355769 0.181690 -0.275182 0.156310 0.119084 0.253710 0.107069 0.253955 -0.095652 0.144526 0.2585 to float64 at row 0, column 1.
